pr_number,pr_title,bug_description,severity,caught,evidence,confidence
8087,"Async import of the appStore packages","Consider adding try-catch around the await to handle import failures gracefully",Low,YES,"Missing Error Handling on Dynamic Imports — None of the `await appStore[...]` calls handle import failures. Dynamic impo",0.95
8087,"Async import of the appStore packages","The code uses forEach with async callbacks, which causes asynchronous operations (e.g., calendar/vid",Critical,YES,"Array.forEach does not await the return value of its callback. Every one of these async callbacks becomes fire-and-forge",0.99
10600,"feat: 2fa backup codes","The exported function TwoFactor handles backup codes and is in BackupCode.tsx. Inconsistent naming.",Low,YES,"BackupCode.tsx exports a function named `TwoFactor` ... File is `BackupCode.tsx`. Export is named `TwoFactor`. The exist",0.97
10600,"feat: 2fa backup codes","Error message mentions 'backup code login' but this is a disable endpoint, not login",Low,YES,"Says ""backup code login"" but this is the *disable* endpoint. Clearly copy-pasted from the login flow",0.97
10600,"feat: 2fa backup codes","Backup code validation is case-sensitive due to the use of indexOf(). This causes validation to fail",Medium,YES,"Backup codes are hex strings from crypto.randomBytes(5).toString(""hex"") (lowercase). If a user types A3F2B instead of a3",0.99
10600,"feat: 2fa backup codes","Because backupCodes are decrypted and mutated in memory before being written back, two concurrent lo",High,YES,"Classic TOCTOU (time-of-check-time-of-use) race condition. Two concurrent requests with the same backup code will both r",0.99
10967,"fix: handle collective multiple host on destinationCalendar","Potential null reference if mainHostDestinationCalendar is undefined if evt.destinationCalendar is n",High,YES,"If `destinationCalendar` is `null`, `undefined`, or empty, `mainHostDestinationCalendar` is `undefined`. Accessing `.int",0.99
10967,"fix: handle collective multiple host on destinationCalendar","The optional chaining on mainHostDestinationCalendar?.integration is redundant since you already che",Low,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic error: when externalCalendarId is provided, you're searching for a calendar where externalId =",High,YES,"If `externalCalendarId` is falsy, we enter the else branch and search for a calendar whose `externalId === externalCalen",0.9
10967,"fix: handle collective multiple host on destinationCalendar","Logic inversion in organization creation: The slug property is now conditionally set when IS_TEAM_BI",Medium,YES,"The condition for `slug` is inverted. This is a semantic change that looks like a bug. After: if billing ENABLED, set BO",0.97
10967,"fix: handle collective multiple host on destinationCalendar","The Calendar interface now requires createEvent(event, credentialId), but some implementations (e.g.",Low,YES,"The `Calendar` interface was changed to require `credentialId: number` in `createEvent`, but only Google Calendar actual",0.9
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","In getBaseConditions(), the else if (filterConditions) and final else branches are unreachable. This",Low,YES,"`getAuthorizationConditions()` always returns `Prisma.Sql` (never null/falsy). The branches handling falsy `authConditio",0.97
