PR,Title,Golden Bugs,Nigel Run 1 Caught,Nigel Run 2 Caught,Nigel Run 3 Caught,Nigel Baseline Avg Recall,Nigel Orchestrated Caught,Code-Review Plugin (Sonnet) Caught,Plugin Recall
8087,Async import of appStore packages,2,1,1,1,50.0%,2,1,50%
10600,2FA backup codes,4,1,1,1,25.0%,4,0,0%
10967,Collective multiple host destinationCalendar,5,3,4,3,66.7%,4,2,40%
22345,InsightsBookingService raw queries,2,1,1,1,50.0%,1,0,0%
7232,Workflow reminder management,2,2,2,2,100.0%,2,2,100%
8330,Date override timezone improvements,2,2,2,2,100.0%,2,2,100%
11059,OAuth credential sync,5,2,5,5,80.0%,5,4,80%
14943,SMS workflow retry tracking,2,1,2,1,66.7%,2,1,50%
14740,Guest management for bookings,5,4,3,3,66.7%,3,2,40%
22532,Calendar cache status,2,2,1,1,66.7%,2,2,100%
TOTAL,,31,19,22,20,65.6%,27,16,51.6%
