pr_number,pr_title,bug_description,severity,caught,evidence,confidence
8087,"Async import of the appStore packages","Consider adding try-catch around the await to handle import failures gracefully",Low,NO,"",0.0
8087,"Async import of the appStore packages","The code uses forEach with async callbacks, which causes asynchronous operations (e.g., calendar/vid",Critical,YES,"In four separate locations, the code uses `forEach(async (...) => { await ... })`. `forEach` does **not** await returned",0.99
10600,"feat: 2fa backup codes","The exported function TwoFactor handles backup codes and is in BackupCode.tsx. Inconsistent naming.",Low,YES,"The file is `BackupCode.tsx`, the export is `default`, but the function is named `TwoFactor`. This is confusing when deb",0.97
10600,"feat: 2fa backup codes","Error message mentions 'backup code login' but this is a disable endpoint, not login",Low,NO,"",0.0
10600,"feat: 2fa backup codes","Backup code validation is case-sensitive due to the use of indexOf(). This causes validation to fail",Medium,NO,"",0.0
10600,"feat: 2fa backup codes","Because backupCodes are decrypted and mutated in memory before being written back, two concurrent lo",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Potential null reference if mainHostDestinationCalendar is undefined if evt.destinationCalendar is n",High,YES,"If `evt.destinationCalendar` is an empty array, `mainHostDestinationCalendar` is `undefined`. Accessing `.integration` o",0.97
10967,"fix: handle collective multiple host on destinationCalendar","The optional chaining on mainHostDestinationCalendar?.integration is redundant since you already che",Low,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic error: when externalCalendarId is provided, you're searching for a calendar where externalId =",High,YES,"if `externalCalendarId` is falsy, you enter the else branch and search for a calendar where `cal.externalId === external",0.72
10967,"fix: handle collective multiple host on destinationCalendar","Logic inversion in organization creation: The slug property is now conditionally set when IS_TEAM_BI",Medium,YES,"These have **opposite semantics**. The original sets `slug` when billing is NOT enabled. The new version sets `slug` whe",0.9
10967,"fix: handle collective multiple host on destinationCalendar","The Calendar interface now requires createEvent(event, credentialId), but some implementations (e.g.",Low,YES,"`createEvent` signature change breaks the interface contract inconsistently — `packages/types/Calendar.d.ts` now declare",0.97
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","In getBaseConditions(), the else if (filterConditions) and final else branches are unreachable. This",Low,YES,"getAuthorizationConditions always returns a Prisma.Sql (never null). So the else branch (return NOTHING_CONDITION) is on",0.95
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","Fetching userIdsFromOrg only when teamsFromOrg.length > 0 can exclude org-level members for orgs wit",Medium,NO,"",0.0
7232,"Comprehensive workflow reminder management for booking lifecycle events","Asynchronous functions deleteScheduledEmailReminder and deleteScheduledSMSReminder are called withou",Medium,YES,"forEach with async callbacks — promises silently dropped. Multiple call sites use forEach with async delete functions, m",0.98
7232,"Comprehensive workflow reminder management for booking lifecycle events","When immediateDelete is true, the deleteScheduledEmailReminder function cancels the SendGrid email b",High,YES,"when immediateDelete is true, the function cancels via SendGrid and *returns early* without updating or deleting the DB ",0.97
8330,"Advanced date override handling and timezone compatibility improvements","Incorrect end time calculation using slotStartTime instead of slotEndTime",Medium,YES,"`start` and `end` are computed from the exact same value (`slotStartTime`). The `end` should use `slotEndTime`. This mea",0.97
8330,"Advanced date override handling and timezone compatibility improvements","Using === for dayjs object comparison will always return false as it compares object references, not",Medium,YES,"This will **never** be true. `===` on two different dayjs objects compares references, not values. You need `.isSame()`.",0.99
11059,"OAuth credential sync and app integration enhancements","The parseRefreshTokenResponse function incorrectly sets refresh_token to the hardcoded string 'refre",High,YES,"You're **inventing** a refresh token when one isn't present, setting it to the literal string `""refresh_token""`. This is",0.99
11059,"OAuth credential sync and app integration enhancements","Invalid Zod schema syntax. Computed property keys like [z.string().toString()] are not valid in Zod ",High,YES,"This is not how Zod works. `z.string().toString()` evaluates to a static string representation of the Zod type (somethin",0.99
11059,"OAuth credential sync and app integration enhancements","parseRefreshTokenResponse returns a Zod safeParse result ({ success, data, error }), not the credent",High,YES,"In `GoogleCalendarService`, the return value is used directly as `key` in a Prisma update — meaning you're storing the Z",0.97
11059,"OAuth credential sync and app integration enhancements","When APP_CREDENTIAL_SHARING_ENABLED and CALCOM_CREDENTIAL_SYNC_ENDPOINT are set, the refreshFunction",High,YES,"when using the sync endpoint, it returns a raw `Response` object from `fetch()`. When using the passed function, it retu",0.95
11059,"OAuth credential sync and app integration enhancements","When the sync endpoint path is used, res is a fetch Response and has no .data; res?.data will be und",High,YES,"when using the sync endpoint, it returns a raw `Response` object from `fetch()`. When using the passed function, it retu",0.95
