PR,Severity,Golden Bug Description,Caught?,Nigel Finding,Miss Reason
8087,Low,"Try-catch around await to handle import failures",YES,"BUG 5: Import failure throws unhandled rejection + summary item 4",
8087,Critical,"forEach with async callbacks causes fire-and-forget promises",YES,"BUG 1+2: forEach async fire-and-forget (4+ occurrences)",
10600,Low,"TwoFactor function in BackupCode.tsx — inconsistent naming",YES,"Issue 4: Component named TwoFactor in BackupCode.tsx",
10600,Low,"Error message mentions 'backup code login' but this is disable endpoint",NO,,Domain-specific text — too subtle for diff review
10600,Medium,"Backup code validation case-sensitive (indexOf). Should be case-insensitive",NO,,Case sensitivity edge case — not in Nigel's checklist
10600,High,"Concurrent backup code use — race condition on in-memory decrypt+mutate",NO,,Concurrency/TOCTOU pattern — not in Nigel's checklist
10967,High,"Null reference if mainHostDestinationCalendar is undefined",YES,"BUG 1: Null pointer crash on Google Meet fallback",
10967,Low,"Optional chaining on mainHostDestinationCalendar?.integration is redundant",NO,,Low-priority nit — redundant but not harmful
10967,High,"Logic error: find(cal => externalId === externalCalendarId) always fails in else branch",YES,"BUG 2: Dead code — updateEvent/deleteEvent calendar lookup always falsy",
10967,Medium,"Logic inversion in organization creation slug/requestedSlug conditions",YES,"BUG 5: Organization slug logic inversion",
10967,Low,"Calendar interface requires credentialId but some implementations don't accept it",YES,"Summary item 8: Office365/Lark don't use credentialId",
22345,Low,"getBaseConditions else-if/else branches unreachable (authConditions always truthy)",YES,"BUG 2: getBaseConditions truthiness check — NOTHING_CONDITION always truthy",
22345,Medium,"userIdsFromOrg only fetched when teamsFromOrg.length > 0 — excludes org-level members",NO,,Conditional guard excludes valid data — requires data model knowledge
7232,Medium,"Async delete functions called without await inside forEach loops",YES,"BUG 1: forEach with async — try/catch is useless",
7232,High,"immediateDelete=true cancels SendGrid but never deletes DB record — orphaned rows",YES,"BUG 3: Inconsistent deletion strategy — data leak",
8330,Medium,"Incorrect end time calculation using slotStartTime instead of slotEndTime",YES,"BUG 2: Copy-paste error — end calculated identically to start",
8330,Medium,"=== on dayjs objects compares references not values. Use .isSame()",YES,"BUG 1: Object reference comparison instead of value comparison",
11059,High,"parseRefreshTokenResponse sets refresh_token to hardcoded string 'refresh_token'",YES,"Bug 10: Fake refresh token injection",
11059,High,"Invalid Zod schema — computed property keys [z.string().toString()] don't work",YES,"Bug 2: minimumTokenResponseSchema is nonsensical",
11059,High,"parseRefreshTokenResponse returns safeParse result wrapper not credential object",YES,"Bug 1: Throws on failure but callers check .success — dead code",
11059,High,"refreshFunction returns fetch Response but callers expect integration-specific token",YES,"Bug 3+4: Google/HubSpot response shape mismatch",
11059,High,"res.data doesn't exist on fetch Response — breaks Google Calendar sync path",YES,"Bug 3: res.data undefined on fetch Response",
14943,High,"retryCount + 1 reads stale value — use atomic increment to avoid race condition",YES,"BUG 3: Race condition on retryCount increment (stale read)",
14943,High,"Deletion deletes non-SMS reminders — missing method:SMS filter in OR clause",YES,"BUG 1: Unscoped deletion nukes unrelated reminders",
14740,High,"Case sensitivity bypass in email blacklist",NO,,Case sensitivity in string comparison — not in Nigel's checklist
14740,Critical,"&& instead of || in team admin/owner permission check",YES,"Bug 1: Authorization check uses && instead of ||",
14740,Medium,"Email sender called with original guests list not uniqueGuests",YES,"Bug 2: sendAddGuestsEmails receives guests not uniqueGuests",
14740,Medium,"uniqueGuests doesn't deduplicate within input — createMany inserts duplicate rows",NO,,Missing input deduplication — data integrity edge case
14740,Low,"Array initialized with [''] causes validation issues",YES,"Bug 3: Empty strings pass validation and get submitted",
22532,Medium,"updateManyByCredentialId uses empty data {} — @updatedAt won't trigger",YES,"BUG 1: Empty data — silent no-op",
22532,Low,"macOS-specific sed syntax (-i '') fails on Linux",NO,,Run 2 focused on relative path issue instead of sed syntax
